checkpoint_id,checkpoint_name,checkpoint_slug,checkpoint_type,checkpoint_pattern,status,status_description,is_functional,is_published,working_time,latitude,longitude,address,subject_name,federal_district,foreign_country,foreign_checkpoint,transport_corridor,checkpoint_note,near_checkpoint_condition,checkpoint_working_mode_id,checkpoint_direction_id,branch_name,branch_phone,branch_email,branch_address,branch_working_time,branch_slug,source,confidence_level,last_updated
296,Симферополь,295,Воздушный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,45.019546,33.997492,"295491, Республика Крым, Симферопольский р-н, с. Укромное, площадь Воссоединения, д. 1",Республика Крым,Южный,,,Не является признаком отнесения к МТК,,0,3,1,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2026-02-16T12:57:23.000000Z
137,Керчь,136,Морской пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,45.35556,36.476485,"Морской порт Керчь: 1 . Участок Керченского торгового порта, грузовой район Керченского филиала ФГУП «НИКИМП» - причалы NoNº 1,2,3,4,5, г. Керчь, ул. Свердлова, 49. 2. Участок Керченского торгового порта грузовой район Керченского филиала ФГУП « НИКИМП - причалы NoNo 1,2,3,4,5,6,7, г. Керчь, ул. Кирова, 28. 3. Участок Керченского торгового порта, грузовой район Керченского филиала ФГУП «НИКИМП» - причалы NoNº 7,8,9,10 - г. Керчь, ул. Айвазовского, 29. 4. У часток ФІ УІ «Росморпорт», порт Камыш-Бурун - причалы NºNº 1,2,3,4, г. Керчь, ул. Танкистов, 2",Республика Крым,Южный,,,АЧБ,,0,3,7,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-23T12:55:35.000000Z
91,Джанкой,90,Автомобильный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,45.976242,34.571801,"Республика Крым, автомобильная дорога общего пользования регионального значения 35 ОП Р335А - 002 (Е-105)  «Граница с Херсонской областью - Симферополь - Алушта – Ялта» км 2 + 200, на территории Джанкойского района",Республика Крым,Южный,,,Северо-Запад,,0,3,6,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-17T13:41:26.000000Z
17,Армянск,16,Железнодорожный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,46.115953,33.702811,"Республика Крым, железнодорожная станция Армянск. Участок №1. Республика Крым, железнодорожная станция Армянск. Участок №2. Территория Армянского филиала ООО ""Титановый Инвестиции""",Республика Крым,Южный,,,Северо-Запад,,0,3,6,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-25T14:00:16.000000Z
98,Евпатория,97,Морской пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",False,True,круглосуточно,45.190034,33.373883,"Республика Крым, г. Евпатория, пл. Моряков, 1. причалы NN 2, 3, 4, 5, 6 — операционная акватория досмотрового комплекса; здание «Морского вокзала» - досмотровой зал первого этажа",Республика Крым,Южный,,,АЧБ,,0,3,7,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2024-09-05T06:28:34.000000Z
376,Ялта,375,Морской пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",False,True,круглосуточно,44.495188,34.172098,"Республика Крым, г. Ялта, ул. Рузвельта, 7 - терминал пассажирского комплекса в г. Ялта, причалы № 1,2 - пассажирские; ул. Дражинского, 2 - терминал грузо-пассажирского комплексеа, причал № 3 - грузовые суда и паромы.",Республика Крым,Южный,,,АЧБ,,0,3,7,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2024-09-05T06:28:47.000000Z
16,Армянск,15,Автомобильный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,46.136665,33.646077,"296012, Республика Крым, автомобильная дорога общего пользования регионального значения 35 ОП РЗ 35А - 003 ""граница с Херсонской областью Армянск"" км 1+800, на территории Красноперекопского района",Республика Крым,Южный,,,Северо-Запад,,0,3,6,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-25T14:03:09.000000Z
349,Феодосия,348,Морской пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,45.030754,35.385505,"Республика Крым, г. Феодосия, ул. Горького, 11 причалы №№ 1 (санитарный причал), 2,14; РНП «Северныи» и «Южный» и районы якорной стоянки №400, 401 (для осуществления пропуска через государственную границу нефтеналивных судов).",Республика Крым,Южный,,,АЧБ,,0,3,7,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2026-02-16T12:51:14.000000Z
371,Элиста,370,Воздушный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Согласно графику прилета рейсов,46.369372,44.330585,"Республика Калмыкия, г. Элиста, «Аэропорт Элиста», ВПП Элиста",Республика Калмыкия,Южный,,,Не является признаком отнесения к МТК,,0,2,1,Волгоградский филиал,+7(844)224-20-44,mail@rosgranstroy.ru,"400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 331","Порядок приема граждан в Волгоградском филиале ФГКУ Росгранстрой  Прием граждан осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 18:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  Запись на прием осуществляется ежедневно, кроме выходных и праздничных дней  с 9:00 до 17:00, по пятницам – до 16.00., (с 13:00 до 14:00 — обед).  По адресу: 400078, г. Волгоград, пр-т им. В.И.Ленина, д.102, офис 339.  Справочная информация по обращениям в Волгоградский филиал ФГКУ Росгранстрой: Телефон: +7(8442)24−20−44",volgogradskiy,https://rosgranstroy.ru/api/map_data,high,2023-02-28T08:32:51.000000Z
294,Севастополь,293,Морской пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,44.614917,33.526481,"Морской порт Севастополь Государственный контроль судов осуществляется у причалов: 1.  Участок Севастопольский филиал ООО «АВАЛ» причалы NoNe 19-22, Местоположение: 299016, г. Севастополь, ул. Приморская, 2.  2. Участок ФГУП «Росморпорт», причалы NoNe 210 - 215. Местоположение: 299014, г. Севастополь, ул. Рыбаков,5.  3. Участок ООО «орг Лебяжий ЛТД» грузопассажирский терминал - причал Nº 237, Местоположение: 299014, г. Севастополь, Западный берег Камышовой бухты, 7а",Севастополь,Южный,,,АЧБ,,0,3,7,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2026-02-16T12:58:51.000000Z
390,Бердянск,berdyansk,Морской пункт пропуска,Грузовой,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",False,True,,55,55,г. Бердянск,Запорожская область,Южный,,,Не является признаком отнесения к МТК,,0,3,1,Крымский филиал,+7(985)798-22-51,mail@rosgranstroy.ru,"295017, Республика Крым, г. Симферополь, ул. Рубцова, д.44 А , этаж 4 (офис 3,4)",Будни; Выходные,krymskiy,https://rosgranstroy.ru/api/map_data,high,2025-12-09T14:22:32.000000Z
152,Куйбышево (Мариновка),151,Автомобильный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,47.857207,38.858523,"Ростовская область, р-н Куйбышевский, северо-западнее х. Репяховатый в 930 м, 75-км трассы с.Самбек-п.Матвеев Курган-с.Куйбышево-г.Снежное",Ростовская область,Южный,,,Северо-Запад,,0,3,6,Ростовский филиал,+7(863)203-65-98,odp-rnd@rosgranstroy.ru,"344068, г. Ростов-на-Дону, пр.Михаила Нагибина д 30И, 4 этаж, комната 404","График приема граждан:  Директор филиала – первый, третий понедельник каждого месяца с 10.00−13.00.  начальник отдела по административной работе филиала – второй, четвертый понедельник каждого месяца с 10.00−13.00.  начальник отдела по эксплуатации и обслуживанию филиала – первая, третья среда каждого месяца с 10.00−13.00.  начальник отдела по строительству филиала – вторая, четвертая среда каждого месяца с 10.00−13.00.",rostovskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-03T14:42:21.000000Z
65,Волошино,64,Автомобильный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,48.905176,39.918452,"Ростовская область, Миллеровский район, 500м юго-восточнее с. Волошино, на 38 км автодороги Миллерово-Луганск",Ростовская область,Южный,,,Северо-Запад,,0,3,6,Ростовский филиал,+7(863)203-65-98,odp-rnd@rosgranstroy.ru,"344068, г. Ростов-на-Дону, пр.Михаила Нагибина д 30И, 4 этаж, комната 404","График приема граждан:  Директор филиала – первый, третий понедельник каждого месяца с 10.00−13.00.  начальник отдела по административной работе филиала – второй, четвертый понедельник каждого месяца с 10.00−13.00.  начальник отдела по эксплуатации и обслуживанию филиала – первая, третья среда каждого месяца с 10.00−13.00.  начальник отдела по строительству филиала – вторая, четвертая среда каждого месяца с 10.00−13.00.",rostovskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-19T13:25:10.000000Z
95,Донецк (Северный),94,Автомобильный пункт пропуска,Грузо-пассажирский,Двусторонний,"для пересечения государственной границы Российской Федерации гражданами, в том числе в упрощенном порядке, и транспортными средствами Российской Федерации и сопредельного государства, а также для перемещения через государственную границу Российской Федерации грузов, товаров и животных только Российской Федерации и сопредельного государства",False,False,,48.34025,39.920856,не определен,Ростовская область,Южный,,Северный,Запад,,0,2,2,Ростовский филиал,+7(863)203-65-98,odp-rnd@rosgranstroy.ru,"344068, г. Ростов-на-Дону, пр.Михаила Нагибина д 30И, 4 этаж, комната 404","График приема граждан:  Директор филиала – первый, третий понедельник каждого месяца с 10.00−13.00.  начальник отдела по административной работе филиала – второй, четвертый понедельник каждого месяца с 10.00−13.00.  начальник отдела по эксплуатации и обслуживанию филиала – первая, третья среда каждого месяца с 10.00−13.00.  начальник отдела по строительству филиала – вторая, четвертая среда каждого месяца с 10.00−13.00.",rostovskiy,https://rosgranstroy.ru/api/map_data,high,2025-08-01T07:28:57.000000Z
84,Гуково,83,Железнодорожный пункт пропуска,Грузо-пассажирский,Многосторонний,"для пересечения государственной границы Российской Федерации лицами независимо от их гражданства (подданства), в том числе лицами без гражданства, и транспортными средствами независимо от государственной принадлежности, а также для перемещения через нее грузов, товаров и животных независимо от их государственной принадлежности",True,True,Круглосуточно,48.048718,39.939344,"347880, Ростовская область, г. Гуково, ул. Вокзальная, д. 14",Ростовская область,Южный,,,Северо-Запад,,0,3,6,Ростовский филиал,+7(863)203-65-98,odp-rnd@rosgranstroy.ru,"344068, г. Ростов-на-Дону, пр.Михаила Нагибина д 30И, 4 этаж, комната 404","График приема граждан:  Директор филиала – первый, третий понедельник каждого месяца с 10.00−13.00.  начальник отдела по административной работе филиала – второй, четвертый понедельник каждого месяца с 10.00−13.00.  начальник отдела по эксплуатации и обслуживанию филиала – первая, третья среда каждого месяца с 10.00−13.00.  начальник отдела по строительству филиала – вторая, четвертая среда каждого месяца с 10.00−13.00.",rostovskiy,https://rosgranstroy.ru/api/map_data,high,2026-03-17T13:49:20.000000Z
